# 安全与密码学 / Security & Cryptography
## cat: sec-crypto
cipher | 密码算法：执行加解密的算法及其工作模式
ciphertext | 密文：加密之后不可读的数据
plaintext | 明文：加密之前的原始数据
symmetric | 对称的：加解密使用同一把密钥
asymmetric | 非对称的：公钥加密、私钥解密，两把不同的钥匙
keypair | 密钥对：数学上配对的公钥与私钥
entropy | 熵：随机源中不可预测性的度量
nonce | 一次性随机数：只用一次、防止重放的随机值
salt | 盐值：拼进口令再哈希，让相同口令产生不同散列
pepper | 胡椒值：与盐类似但不入库、单独保管的秘密串
digest | 摘要：对任意数据算出的定长指纹
collision | 碰撞：两份不同数据算出同一个哈希值
preimage | 原像：能算出指定哈希值的那份原始数据
hmac | 带密钥的消息认证码：用密钥与哈希共同证明消息未被篡改
signature | 数字签名：用私钥生成、任何人可用公钥验证的凭据
verification | 验证：核对签名或证据是否成立
attestation | 远程证明：由硬件出具、证明运行环境未被篡改的凭据
padding | 填充：把数据补足到分组长度，方式不当会引入漏洞
mode | 分组模式：把分组密码扩展到任意长度数据的方式
initialization | 初始向量的：让相同明文每次加密结果不同的起始值
stream | 流密码的：逐位与密钥流异或的加密方式
block | 分组的：把数据切成固定长度分组分别加密
derivation | 密钥派生：由口令或主密钥推出实际使用的密钥
stretching | 密钥拉伸：故意放慢派生速度以抵抗暴力破解
handshake | 握手：正式通信前协商参数与密钥的开场交互
forward-secrecy | 前向保密：长期密钥泄露也无法解开此前的会话
ephemeral | 临时的：只在本次会话使用、用后即弃
elliptic | 椭圆曲线的：基于椭圆曲线离散对数的公钥体制
lattice | 格的：基于格上难题、被认为抗量子的密码体制
quantum-resistant | 抗量子的：在量子计算机面前仍然安全
homomorphic | 同态的：无需解密即可对密文直接做运算
zero-knowledge | 零知识的：证明自己知道某秘密而不泄露它
commitment | 承诺：先锁定一个值、之后再揭示且无法反悔
threshold | 门限的：需要若干份份额合起来才能恢复秘密
randomness | 随机性：结果不可预测的程度，密码学中直接决定强度
pseudorandom | 伪随机的：确定算法产生、但统计上不可区分于随机
seeding | 播种：给随机数生成器提供初始熵
obfuscation | 混淆：故意让代码或数据难以理解
steganography | 隐写：把信息藏在别的载体里，让人看不出有信息
## cat: sec-attack
exploit | 漏洞利用：把缺陷变成实际控制能力的手段
payload | 载荷：攻击真正要执行的那段代码或数据
vulnerability | 脆弱性：可被利用的缺陷
disclosure | 披露：把漏洞信息公开或告知厂商的过程
reconnaissance | 侦察：动手之前对目标的信息搜集
enumeration | 枚举：逐个试探以摸清有哪些账户、服务或路径
injection | 注入：把数据当成代码执行的一类攻击
traversal | 路径穿越：用相对路径读到本不该访问的文件
deserialization | 反序列化：把字节流还原成对象，处理不当会执行任意代码
overflow | 溢出：写入超出缓冲区边界，从而改写相邻内存
underflow | 下溢：数值小到超出可表示范围，常被用来绕过边界检查
race | 竞态的：两次检查与使用之间的时间窗被利用
escalation | 提权：从低权限拿到更高权限
