# 职场与商务 / Workplace & Business
## cat: work-comm
succinct | 简洁扼要的：话不多但要点全在
verbose | 冗长的：说了很多却没多少信息
digress | 离题：说着说着跑到别的话题上
tangent | 岔题：go off on a tangent，扯到不相关的方向
belabor | 反复纠缠：对已经说清的点还在没完没了地讲
reiterate
paraphrase | 转述：用自己的话复述对方的意思
summarize | 总结：把要点浓缩成简短陈述
recap | 复述：把已讨论的内容再说一遍以确认共识
clarify | 澄清：把含糊之处讲明白
elaborate | 展开：对某点作更详细的说明
qualify | 限定：给结论加上适用条件
caveat | 注意事项：对结论加以限定的说明
disclaimer | 免责声明：明确排除某些责任
attribute | 归功／归因：指明出自何人或何因
credit | 归功：明确指出成果由谁做出
acknowledge | 承认：认可对方所说或他人的贡献
appreciate | 体谅：理解并重视对方的处境
commend | 表扬：公开肯定某人的表现
critique | 批评：有依据地指出问题与改进方向
constructive | 建设性的：批评同时给出可行的改进
actionable | 可执行的：明确到对方知道下一步做什么
vague | 含糊的：说了等于没说
ambiguous | 有歧义的：可以有不止一种理解
explicit | 明确的：把话说到没有解释空间
implicit | 隐含的：没有明说但被默认
tacit | 心照不宣的：双方都懂却从未言明
assume | 假定：未经核实就当作成立
presume | 推定：在没有相反证据前先当作如此
clarification | 澄清说明：为消除歧义作的补充
alignment | 对齐：各方在方向上取得一致
misalignment | 不同频：双方以为在说同一件事其实不是
consensus | 共识：各方都能接受的结论
dissent | 异议：明确表示不同意
pushback | 反对意见：对提案提出的实质性质疑
buy-in | 支持认可：让相关方真正认同并愿意配合
stakeholder | 利益相关方：其利益会被决策影响的一方
sponsor | 主推人：为项目提供资源与政治支持的高层
champion | 推动者：主动为某件事奔走的人
escalate | 升级上报：把问题提交给更有权限的层级
deescalate
mediate | 调解：介于双方之间促成一致
facilitate | 促成：让讨论顺利进行而不主导结论
moderate | 主持：把控节奏并让各方都有发言机会
delegate | 委派：把任务连同决策权交给他人
empower | 授权赋能：给出决策空间而非事事请示
micromanage | 事事插手：过度干预下属的具体做法
autonomy | 自主权：可以自己决定怎么做的空间
accountability | 问责：谁为结果负责并需要交代
ownership | 主人翁责任：把一件事从头负责到底
follow-through | 跟到底：把承诺的事真正做完
diplomacy | 外交手腕：在冲突中不伤和气地推进
tact | 分寸：说难听的话也不伤人的能力
candor | 坦率：把真实想法直接说出来
transparency | 透明：信息公开、过程可见
discretion | 审慎：知道什么该说、什么不该说
confidential | 保密的：不得向无关方透露
## cat: work-biz
proposition | 价值主张：产品为客户解决了什么、凭什么选你
differentiation | 差异化：与竞品拉开距离的地方
positioning | 定位：在客户心里占据的位置
segmentation | 市场细分：把市场切成特征相近的子群
addressable | 可触达市场的：产品理论上能服务的市场规模
penetration | 渗透率：目标市场中已被覆盖的比例
adoption | 采纳：用户开始真正使用
diffusion | 扩散：新产品在人群中扩散的过程
moat | 护城河：让竞争者难以复制的结构性优势
lock-in | 锁定：转换成本高导致难以离开
switching | 转换成本的：换掉现有方案要付出的代价
commoditization | 商品化：产品趋同，只能拼价格
disruption | 颠覆：用更便宜或更简单的方案从底部侵蚀在位者
incumbent | 在位者：当前占据市场或职位的一方
entrant | 新进入者：刚进入这个市场的竞争者
consolidation | 整合：行业内并购导致玩家变少
vertical | 纵向整合的：把上下游环节纳入自己掌控
horizontal | 横向扩张的：在同一层级扩大品类或地域
economies | 规模经济的：产量越大单位成本越低
network-effect | 网络效应：用户越多产品对每个人越有价值
flywheel | 飞轮：各环节互相加强、越转越快的正循环
compounding | 复利：小优势随时间累积成大差距
runway | 现金流跑道：资金耗尽前还能撑多久
burn | 烧钱率：每月净消耗多少现金
margin | 利润率：收入扣除成本后剩下的比例
markup | 加价率：售价相对成本高出的比例
discounting | 折扣：为成交而让出的价格空间
pricing | 定价：决定收多少钱以及怎么收
tiering | 分层定价：按功能或用量分成不同档位
bundling | 捆绑：把多个产品打包出售
upsell | 增购：让现有客户买更高档的版本
crosssell | 交叉销售：让客户再买相关的另一产品
churn | 流失率：客户停止使用的速率
retention | 留存：把人留下来不流失
expansion | 净扩张的：老客户带来的收入增长
pipeline | 销售管道：处于各阶段的潜在成交的集合
forecast | 预测：对未来业绩的量化估计
quota | 指标：被分配的销售任务额度
attainment | 达成率：实际业绩相对目标的比例
procurement | 采购：组织购买产品或服务的正式流程
vendor | 供应商：向你出售产品或服务的一方
outsourcing | 外包：把某职能交给外部机构承担
insourcing | 回收自建：把外包出去的职能收回自己做
partnership | 合作：双方各出资源共同开拓
alliance | 联盟：为共同目标结成的较松散合作
merger | 合并：两家公司合成一家
acquisition | 收购：买下另一家公司
divestiture | 剥离：把某项业务卖出或分拆出去
diligence | 尽职调查：交易前对标的的全面核查
valuation | 估值：市场给公司标出的价格
dilution | 摊薄：新增股份使原股东占比下降
term-sheet | 条款清单：投资交易主要条件的框架文件
liquidation | 清算优先权的：退出时谁先拿钱、拿多少
vesting | 股权归属：按时间逐步真正拿到股权
cliff | 悬崖期：满一年才开始归属的那道门槛
## cat: work-career
trajectory | 职业轨迹：一个人职位与能力随时间的走向
lateral | 平调的：级别不变但换到别的岗位
promotion | 晋升：职位与职责的上调
demotion | 降级：职位或职责被下调
attrition | 流失：员工的自然减少
retention | 留存：把人留下来不流失
poaching | 挖角：从别的公司挖走人才
counteroffer | 反报价：现雇主为留人给出的加薪条件
severance | 离职补偿：终止雇佣时的补偿与条款
noncompete | 竞业禁止：约定一段时间内不做竞争业务
garden-leave | 花园假：离职后带薪但不得工作的过渡期
notice | 通知期：提出离职到实际离开之间的时间
handover | 交接：把工作与知识移交给接手的人
backfill | 补位招聘：为离职者的岗位重新招人
headcount | 编制人数：团队被批准拥有的人数
requisition | 招聘编制：获批可以招人的名额
screening | 初筛：从大量简历中筛出值得面试的人
shortlist | 入围名单：从众多候选中筛出的少数
panel | 面试小组：由多位面试官组成的评审
behavioral | 行为面试的：从过往具体经历判断能力
competency | 胜任力：完成岗位所需的能力集合
calibration | 校准：让不同面试官或评分者标准一致
feedback | 反馈：对表现给出的评价与建议
appraisal | 考评：对工作表现的正式评估
review | 绩效评估：定期对表现的正式评价
rating | 评级：绩效被归入的等级
ranking | 排序：把同层级的人从高到低排列
curve | 强制分布的：评级按预设比例分配
bonus | 奖金：在基本工资之外按表现发放
equity | 股权：以公司所有权形式发放的报酬
refresher | 追加授予：为已在职者新增的股权
liquidity | 变现事件的：上市或被收购使股权可以卖出
