# 日常生活 / Everyday Life
## cat: life-home
lease | 租约：租房的书面合同
tenancy | 租期：承租关系存续的期间
landlord | 房东：把房屋出租的一方
tenant
sublet | 转租：承租人再把房子租给第三方
deposit | 押金：入住前交付、退租时可退还的钱
utilities | 水电煤等公用事业费
appliance | 家电：冰箱洗衣机等家用电器
thermostat | 温控器：设定并维持室温的装置
plumbing | 管道系统：给水与排水的整套管路
insulation | 隔热层：减少室内外热量交换的材料
mortgage | 按揭：以房产抵押取得的长期贷款
amortization | 分期偿还：按期归还贷款本金与利息
escrow | 第三方托管：交易款项由中立方代管至条件满足
appraisal | 估价：由专业人士评定房产价值
closing | 过户：完成产权转移的最后环节
premises | 房产：合同所指的那处场所
maintenance | 维护：为保持可用状态而做的日常修缮
wear-and-tear | 正常损耗：使用中不可避免的自然磨损
renovation | 翻新：对既有房屋的改造装修
declutter | 清理杂物：把不需要的东西清出去
errand | 跑腿事务：出门办的琐碎小事
chore | 家务：反复要做的日常杂活
subscription | 订阅：按周期自动续费的服务
invoice | 发票账单：列明应付款项的单据
receipt
reimbursement | 报销：垫付后由单位或保险返还
deductible | 免赔额：保险开始赔付前需自付的金额
premium | 保费：为投保定期支付的费用
claim
warranty
refund | 退款：把已付款项退还
exchange
recurring | 周期性的：按固定周期反复发生
overdue | 逾期的：已超过应付日期
## cat: life-out
itinerary | 行程单：按时间列出的旅行安排
layover | 中转停留：转机之间在机场等待的时间
stopover | 经停：中途下机停留一段时间再继续
boarding | 登机：进入飞机的流程
gate
terminal
baggage | 托运行李：交由航司运输的行李
carry-on | 随身行李的：可带上客舱的行李
customs | 海关：入境时查验物品与征税的机构
immigration | 边检：入境时查验身份与签证
declaration | 申报：入境时主动告知携带的物品
visa
transit | 过境的：只是路过而不入境
reservation | 预订：预先订下座位或房间
confirmation
cancellation | 取消：撤销已有预订
refundable | 可退的：取消后能拿回款项
rebook | 改签：改到另一班次或日期
overbooking | 超售：卖出的座位多于实际座位
compensation
accommodation | 住宿：过夜的地方
amenity | 配套设施：住宿提供的额外便利
checkin | 办理入住／值机：抵达时登记并领取房卡或登机牌
concierge | 礼宾：帮客人安排各种事务的服务台
appointment | 预约：与医生或机构约定的时间
referral | 转诊：由全科医生转介到专科
copay | 自付额：每次就诊需自己承担的固定费用
prescription | 处方：医生开具的用药单
refill | 续开药：按原处方再取一次药
dosage
symptom
diagnosis | 诊断：判断所患何病
triage | 分诊：按紧急程度决定先看谁
outpatient | 门诊的：不需住院的诊疗
inpatient | 住院的：需要留院的诊疗
discharge | 出院：结束住院离开医院
follow-up | 随访：治疗后按期复查
## cat: life-home
utility-bill | 水电账单：按用量结算的公用事业费用
meter-reading | 抄表：记录水电燃气的用量读数
tariff-plan | 资费方案：不同时段或用量对应的价格
arrears | 欠费：应付而未付的余额
direct-debit | 自动扣款：授权机构定期从账户扣钱
standing-order | 定期转账：按固定金额与周期自动转出
statement | 对账单：一段时间内交易明细的汇总
overdraft | 透支：账户余额不足时银行垫付的额度
credit-score | 信用分：反映按时还款记录的评分
collateral-free | 无抵押的：不需要提供担保物的借款
installment | 分期：把总额拆成多期偿还
interest-rate | 利率：借款成本相对本金的比例
compound-interest | 复利：利息本身也产生利息
principal amount | 本金：借款或投资的初始金额
home inventory | 房屋物品清单：租赁时记录家具与状况的清单
walkthrough | 验房：入住或退租时逐项检查房屋状况
handyman | 维修工：处理各类小型维修的师傅
contractor | 承包商：承接装修或施工的公司或个人
quotation | 报价：施工或服务的价格与范围说明
warranty-claim | 保修索赔：依据保修条款要求免费维修
recall-notice | 召回通知：厂商公告产品存在缺陷需处理
disposal | 处置：把废弃物按规定丢弃或回收
recycling | 回收：把可再利用的材料分类送去再加工
compost | 堆肥：把有机废弃物转化为肥料
subletting | 转租：把租来的房子再租给别人
## cat: life-out
red-eye | 红眼航班的：夜间起飞清晨到达
jet-lag | 时差反应：跨时区后生物钟紊乱
turbulence | 颠簸：气流造成的飞行不平稳
tarmac | 停机坪：飞机停靠与滑行的区域
taxiing | 滑行：飞机在地面移动
deplane | 下机：从飞机上下来
gate-change | 登机口变更：临时更换登机口
standby | 候补：没有确认座位、等待有空位
upgrade | 升舱：换到更高等级的舱位
frequent-flyer | 常旅客的：航空公司的积分会员计划
mileage | 里程积分：按飞行距离累积的可兑换点数
lounge | 贵宾休息室：候机时可使用的付费或会员空间
duty-free | 免税的：免征关税与部分税费的商品
excess-baggage | 超重行李：超出免费额度需另付费
fragile | 易碎的：需要小心搬运的
claim-tag | 行李牌：托运时用于领取行李的凭条
lost-luggage | 行李遗失：托运行李未随航班抵达
insurance-claim | 保险理赔：出险后向保险公司索赔
copayment | 共付额：保险之外自己承担的部分
premium payment | 保费缴纳：按期支付保险费用
network provider | 定点医疗机构：保险覆盖范围内的医院或医生
out-of-network | 网络外的：不在保险合作名单内、报销比例低
preauthorization | 事前授权：某些治疗需先获保险公司批准
walk-in | 免预约的：不需要提前预约即可就诊
urgent-care | 急诊之外的紧急门诊：处理不危及生命的急症
emergency-room | 急诊室：处理危急重症的科室
specialist | 专科医生：只看某一类疾病的医生
second-opinion | 第二诊疗意见：另找一位医生复核诊断
