# 技术英语 / Tech English
## cat: ai
autoregressive | 自回归的：逐个生成，每一步都以已生成内容为条件
bidirectional | 双向的：同时利用左右两侧上下文
causal | 因果掩码的：只允许看到当前位置之前的内容
masked | 掩码的：随机遮住部分输入让模型还原
pretraining | 预训练：在大规模无标注语料上先学通用表示
finetuning | 微调：在预训练模型上用少量任务数据继续训练
alignment | 对齐：让模型的行为符合人类意图与价值
grounding | 接地：把回答锚定在可核查的外部证据上
retrieval | 检索增强的：先查资料再作答
reranking | 重排序：对初步召回的候选重新打分排序
prompt | 提示词：喂给模型、引导其行为的输入文本
context | 上下文窗口的：模型一次能看到的最大 token 数
truncation | 截断：超出窗口的部分被直接丢弃
decoding | 解码：从概率分布中选出下一个 token 的策略
sampling | 采样：按概率随机抽取而非总取最大
greedy | 贪心解码的：每一步都取概率最大的候选
beam | 束搜索的：同时保留若干条候选路径
temperature | 温度：调节输出随机性的参数
nucleus | 核采样的：只在累积概率达阈值的候选中采样
logits | 未归一化得分：softmax 之前的原始输出
softmax
embedding
tokenizer | 分词器：把文本切成模型词表中单元的组件
vocabulary | 词表：模型认识的全部 token 集合
subword | 子词的：把罕见词拆成常见片段
byte-pair | 字节对编码的：按频率反复合并相邻片段建词表
positional | 位置编码的：把顺序信息注入无序的注意力
residual | 残差连接的：把输入直接加到输出上以便梯度流动
layernorm | 层归一化：对每个样本的特征维做归一化
dropout | 随机失活：训练时随机丢弃神经元以防过拟合
optimizer | 优化器：决定如何根据梯度更新参数
scheduler | 学习率调度器：按训练进度调整学习率
warmup | 预热：训练初期把学习率从很小逐步升上来
checkpointing | 梯度检查点：用重算换显存
mixed-precision | 混合精度的：用低精度算、关键处保留高精度
parallelism | 并行：把模型或数据切分到多个设备
sharded | 分片的：参数被切开分放在多张卡上
throughput | 吞吐量：单位时间完成的工作量
inference | 推理：用训练好的模型对新输入作前向计算
batching | 批处理：把多个请求合并成一批以提高吞吐
caching | 缓存：把结果暂存起来，下次直接取用
speculative | 投机解码的：先用小模型草拟再由大模型核验
distillation | 蒸馏：训练小模型复现大模型的行为
pruning | 剪枝：剪掉不重要的权重或分支
sparsity | 稀疏性：绝大多数元素为零
adapter | 适配器：只训练插入的小模块而冻结主干
lora | 低秩适配的：用低秩矩阵近似参数更新
reinforcement | 强化学习的：靠奖励信号而非标签来学习
reward | 奖励模型的：学习人类偏好并给回答打分
preference | 偏好数据的：由人对两个回答孰优孰劣的标注
policy | 策略：在给定状态下选择动作的规则
rollout | 采样轨迹：让策略实际跑一遍收集数据
exploration | 探索：尝试未知动作而非只用已知最优
exploitation | 利用：优先选择当前已知回报最高的动作
bandit | 多臂老虎机的：在探索与利用之间权衡的经典问题
regret | 遗憾：与事后最优策略相比损失了多少
convergence | 收敛：训练过程趋于稳定
divergence | 发散：迭代不收敛，数值越跑越大
generalization | 泛化：在没见过的数据上依然有效
memorization | 记忆：模型背下了训练样本本身
leakage | 数据泄漏：测试信息混进了训练，导致评估虚高
