# 思辨与逻辑 / Reasoning & Argument
## cat: rea-logic
proposition | 命题：有真假可言的陈述
predicate | 谓词：描述对象性质或关系的表达式
quantifier | 量词：全称或存在，限定命题的适用范围
universal | 全称量词的：断言对一切对象都成立
existential | 存在量词的：断言至少存在一个满足条件的对象
negation | 否定：把命题的真值反过来
conjunction | 合取：两个命题都为真时整体为真
disjunction | 析取：至少一个为真时整体为真
implication | 蕴含：若前件为真则后件必为真
biconditional | 双条件：当且仅当，两边真值必须相同
converse | 逆命题：把条件与结论对调，未必成立
inverse | 否命题：把条件与结论都否定，未必成立
contrapositive | 逆否命题：与原命题必然同真同假
antecedent | 前件：条件句中"若"后面的部分
consequent | 后件：条件句中"则"后面的部分
soundness | 可靠性：论证既有效、前提又为真
validity | 有效性：只要前提为真结论必为真
cogency | 强论证性：归纳论证既强又前提为真
entailment | 蕴涵关系：前提为真时结论不可能为假
inconsistency | 不一致：一组命题不可能同时为真
contradiction | 矛盾：断言与自身的否定同时成立
paradox | 悖论：自相矛盾却似乎都有道理
antinomy | 二律背反：两个同样有理却互相冲突的结论
dilemma | 两难：无论怎么选都要放弃重要价值
trilemma | 三难：三个选项都有不可接受的代价
regress | 无穷倒退：每一步都需要更前一步的证明
circularity | 循环论证：用结论本身来支持结论
begging | 窃取论题的：把待证的结论预设为前提
bootstrapping | 自举：靠自身的一部分把整个论证或系统撑起来
parsimony
occam | 奥卡姆剃刀的：如无必要，勿增实体
abduction | 溯因推理：从现象推出最能解释它的假说
analogy | 类比：由相似之处推出另一处也相似
induction | 归纳：由个例推出一般规律
deduction | 演绎：由一般规律推出个例
defeasible | 可被推翻的：新证据出现时结论可以被撤回
monotonic | 单调的：加入新前提不会推翻已有结论
probabilistic | 概率性的：以概率而非非黑即白的方式刻画信念
bayesian | 贝叶斯的：用先验加证据不断更新信念的推理方式
credence | 置信度：对某命题为真所赋予的主观概率
updating | 更新：依据新证据调整原有信念
calibration | 校准：主观把握与实际准确率是否吻合
overconfidence | 过度自信：把握程度高于实际准确率
anchoring | 锚定：初始信息不成比例地影响后续判断
availability | 可得性偏差：容易想起的事被高估其概率
representativeness | 代表性偏差：只看像不像而忽略基础概率
base-rate | 基础比率的：忽略先验概率导致的判断失误
conjunction-fallacy | 合取谬误：认为更具体的情形反而更可能
survivorship | 幸存者偏差：只看到留下来的样本
hindsight | 后见之明偏差：事后觉得当初本该看出来
confirmation | 确认偏差：只找支持自己的证据
motivated | 动机性推理的：先有结论再找理由
## cat: rea-rhet
premise | 前提：推出结论所依据的陈述
assertion | 断言：不加论证直接提出的主张
claim | 主张：论证要说服别人接受的那句话
warrant | 论证依据：把证据连到主张上的原则
backing | 支撑：为论证依据本身提供的进一步理由
qualifier | 限定词：标明主张适用范围与强度的词
rebuttal | 反驳：针对论点逐条给出的回应
concession | 让步：先承认对方有理再提出保留
refutation | 驳斥：证明对方论证不成立
strawman | 稻草人：歪曲对方立场后再攻击
steelman | 钢人：把对方立场重构得尽可能强再回应
adhominem | 人身攻击的：攻击提出者而非论点本身
tuquoque | 你也一样：以对方也有同样问题来回避批评
whataboutism | 转移话题：用别处的问题来搪塞当前的问题
falsedilemma | 假两难：把本有多个选项说成只有两个
slipperyslope | 滑坡：断言一步会不可避免地滑向极端
equivocation | 偷换概念：同一个词在论证中换了含义
amphiboly | 歧义结构：句子结构造成的多重理解
composition | 合成谬误：由部分的性质推出整体也如此
division | 分割谬误：由整体的性质推出每个部分也如此
authority | 诉诸权威的：以身份而非理由支持主张
popularity | 诉诸大众的：以多数人相信来当作理由
tradition | 诉诸传统的：以一向如此当作理由
novelty | 诉诸新颖的：以更新来当作更好的理由
emotion | 诉诸情感的：以激起情绪代替给出理由
ignorance | 诉诸无知的：以没被证伪当作已被证实
consequences | 诉诸后果的：以结论令人不适来否定它
nirvana | 完美主义谬误：因为不完美就否定明显的改进
anecdote | 轶事：零散个例，不构成证据
correlation | 相关：两者同时变化，未必有因果
causation | 因果：一者的改变确实引起另一者改变
posthoc | 后此谬误：因为在其后就断定是其果
texas-sharpshooter | 德州神枪手：先射击再画靶，事后挑出巧合当规律
moving-goalposts | 移动球门：对方满足条件后又改变要求
noscotsman | 无真苏格兰人：靠重新定义来保住被反驳的断言
loaded | 预设性问题的：问题本身预埋了未经同意的前提
gish-gallop | 火力覆盖：抛出大量论点让对方来不及逐一反驳
rhetoric | 修辞：说服的技艺；也贬指没有实质的漂亮话
eloquence | 雄辩：说服力强而优美的表达
sophistry | 诡辩：巧妙却有意误导的推理
casuistry | 诡辩式论证：用精细的区分为可疑立场辩护
demagoguery | 蛊惑：迎合情绪与偏见以博取支持
propaganda | 宣传：为特定立场服务的有组织信息投放
irony | 反讽：字面意思与真实意图相反
sarcasm | 讽刺：带攻击性的反话
satire | 讽刺作品：用夸张与荒谬批评现实
understatement | 低调陈述：故意说轻以加强效果
litotes | 曲言法：用否定其反面来肯定，如 not unlikely
metaphor | 隐喻：不用"像"直接把一物说成另一物
analogy | 类比：由相似之处推出另一处也相似
allegory | 寓言：整篇都在讲另一层意思的叙述
rhetorical-question | 反问：不求回答、只为强调的问句
anaphora | 首语重复：连续句子用相同开头以增强气势
antithesis | 对照：把相反的说法并置以突出差异
chiasmus | 交错配列：把结构反过来重说一遍
